Artist,Song Title,Lyrics,Year,Artists Collaborated,Year Collaborated
Santo and Johnny,Sleep Walk,(Instrumental),1959,Nino Rota,1962
Paul Anka,Put Your Head On My Shoulder,"Put your head on my shoulder Hold me in your arms, baby Squeeze me oh so tight Show me that you love me too  Put your lips next to mine, dear Won't you kiss me once, baby Just a kiss goodnight, maybe You and I will fall in love (You and I will fall in love)  People say that love's a game A game you just can't win If there's a way I'll find it someday And then this fool will rush in  Put your head on my shoulder Whisper in my ear, baby Words I want to hear Tell me, tell me that you love me too (Tell me that you love me too)  Put your head on my shoulder Whisper in my ear, baby Words I want to hear, baby Put your head on my shoulder",1959,Frank Sinatra,1969
Lloyd Price,Stagger Lee,"The night was clear And the moon was yellow And the leaves came tumbling down  I was standing on the corner When I heard my bulldog bark He was barking at the two men Who were gambling in the dark  It was Stagger Lee and Billy Two men who gambled late Stagger Lee threw seven Billy swore that he threw eight  Stagger Lee told Billy ""I can't let you go with that You have won all my money And my brand new Stetson hat.""  Stagger Lee started off Goin down that railroad track He said, I can't get you Billy But don't be here when I come back  Go on, Stagger Lee  Stagger Lee went home And he got his .44 Said, ""I'm going to the bar room Just to pay that debt I owe.""  Stagger Lee went to the bar room And he stood across the bar room door Said, ""Now nobody move."" And he pulled his .44  ""Stagger Lee,"" cried Billy ""Oh, please don't take my life I got three little children And a very sickly wife.""  Stagger Lee shot Billy Oh he shot that poor boy so bad Till the bullet came through Billy And it broke the bartender's glass  Now look out, Stagg, come on",1959,Elvis Presley,1958
Ritchie Valens,Donna,"Oh, Donna Oh, Donna Oh, Donna Oh, Donna  I had a girl Donna was her name Since she left me I've never been the same  Cause I love my girl Donna, where can you be? Where can you be?  Now that you're gone I'm left all alone All by myself To wander and roam  Cause I love my girl Donna, where can you be? Where can you be?  Oh, darlin', now that you're gone I don't know what I'll do All the time and all my love For you  I had a girl Donna was her name Since she left me I've never been the same  Cause I love my girl Donna, where can you be? Where can you be?  Oh, Donna Oh, Donna Oh, Donna Oh, Donna",1959,Buddy Holly,1959
Dodie Stevens,Pink Shoelaces,"Now I've got a guy and his name is Dooley He's my guy and I love him truly He's not good lookin', heaven knows But I'm wild about his crazy clothes  He wears tan shoes with pink shoelaces A polka dot vest and man, oh, man Tan shoes with pink shoelaces And a big Panama with a purple hat band  Ooh-ooh, ooh, ooh Ooh-ooh, ooh, ooh  He takes me deep-sea fishing in a submarine We got to drive-in movies in a limousine He's got a whirly-birdy and a 12-foot yacht Ah, but that's-a not all he's got  He's got tan shoes with pink shoelaces A polka dot vest and man, oh, man Tan shoes with pink shoelaces And a big Panama with a purple hat band  Now Dooley had a feelin' we were goin' to war So he went out and enlisted in a fightin' corps But he landed in the brig for raisin' such a storm When they tried to put 'em in a uniform  He wanted tan shoes with pink shoelaces A polka dot vest and man, oh, man He wanted tan shoes with pink shoelaces And a big Panama with a purple hat band  Ooh-ooh, ooh, ooh Ooh-ooh, ooh, ooh  Now one day Dooley started feelin' sick And he decided that he better make his will out quick He said ""Just before the angels come to carry me I want it down in writin' how to bury me.""  A'wearin tan shoes with pink shoelaces A polka dot vest and man, oh, man Give me tan shoes with pink shoelaces And a big Panama with a purple hat band  Ooh-ooh, ooh, ooh Ooh-ooh, ooh, ooh Ooh-ooh, ooh, ooh  And a big Panama with a purple hat band!!",1959,Bobby Darin,1959
Platters,Smoke Gets In Your Eyes,"They asked me how I knew My true love was true I of course replied, something here inside Cannot be denied  They said some day you'll find All who love are blind When your heart's on fire, you must realize Smoke gets in your eyes  So I chaffed them and I gaily laughed To think they could doubt my love Yet today my love has flown away I am without my love (Without my love)  Now laughing friends deride Tears I cannot hide, hide So I smile and say, when a lovely flame dies  Smoke gets in your eyes (Smoke gets in your eyes) (Smoke gets in your eyes) Smoke gets in your eyes!",1959,Tony Williams,1969
Coasters,Charlie Brown,"Fe-fe, fi-fi, fo-fo, fum I smell smoke in the auditorium  Charlie Brown, Charlie Brown He's a clown, that Charlie Brown He's gonna get caught Just you wait and see (Why's everybody always pickin' on me)  That's him on his knees I know that's him Yellin' 7 come 11 Down in the boys' gym  Charlie Brown, Charlie Brown He's a clown, that Charlie Brown He's gonna get caught Just you wait and see (Why's everybody always pickin' on me)  Who's always writing on the wall Who's always goofing in the hall Who's always throwing spitballs Guess who (who, me) yeah, you  Who walks in the classroom, cool and slow Who calls the English teacher, Daddy-O  Charlie Brown, Charlie Brown He's a clown, that Charlie Brown He's gonna get caught Just you wait and see (Why's everybody always pickin' on me)  Who walks in the classroom, cool and slow Who calls the English teacher, Daddy-O  Charlie Brown, Charlie Brown He's a clown, that Charlie Brown He's gonna get caught Just you wait and see (Why's everybody always pickin' on me)",1959,Elvis Presley,1957
Martin Denny,Quiet Village,"Alone in my quiet village I pray You will be returning one day To me Return to me Alone living with the mem'ry of you Promising you'd always be true To me Be true to me Above me there's a moon on fire Telling you to love me as I desire And ever the flame in my quiet village will burn Darling till the day you return to me Return to me, return to me",1959,Arthur Lyman,1957
Everly Brothers,('Til) I Kissed You,"Never felt like this until I kissed ya How did I exist until I kissed ya Never had you on my mind Now you're there all the time Never knew what I missed 'til I kissed ya Uh huh I kissed ya, oh yeah Things have really changed since I kissed ya, uh huh My life's not the same now that I kissed ya, oh yeah  Mmm, you got a way about ya Now I can't live without ya Never knew what I missed 'til I kissed ya Uh huh I kissed ya, oh yeah  You don't realize what you do to me And I didn't realize what a kiss could be  Mmm, you got a way about ya Now I can't live without ya Never knew what I missed 'til I kissed ya Uh huh I kissed ya, oh yeah  You don't realize what you do to me And I didn't realize what a kiss could be  Mmm, you got a way about ya Now I can't live without ya, uh huh Never knew what I missed 'til I kissed ya Uh huh I kissed ya, oh yeah I kissed ya, uh huh I kissed ya, oh yeah I kissed ya...",1959,Paul McCartney,1983
Carl Dobkins Jr.,My Heart Is An Open Book,"Don't believe all those lies Darlin', just believe your eyes and  Look, look, my heart is an open book I love nobody but you (ah, ah, ah, ah) Look, look, my heart is an open book My love is honest and true (Doodidit, doodidit, doodidit, doot)  Some jealous so and so (Doodidit, doot) Wants us to part (Doodidit, doodidit, doodidit, doot) That's why he's tellin' you (Doodidit, doot) That I've got a cheatin' heart  Don't believe all those lies Darlin', just believe your eyes and  Look, look, my heart is an open book I love nobody but you (Doodidit, doodidit, doodidit, doot)  Some jealous so and so (Doodidit, doot) Wants us to part (Doodidit, doodidit, doodidit, doot) That's why he's tellin' you (Doodidit, doot) That I've got a cheatin' heart  Don't believe all those lies Darlin', just believe your eyes and  Look, look, my heart is an open book I love nobody but you Nobody but you Nobody but you",1959,The Crickets,1959
Phil Phillips and The Twilights,Sea Of Love,"Come with me, my love To the sea, the sea of love I want to tell you how much I love you  Do you remember when we met That's the day I knew you were my pet I want to tell you how much I love you  Come with me to the sea of love  Do you remember when we met That's the day I knew you were my pet I want to tell you how much I love you  Come with me to the sea of love  Do you remember when we met That's the day I knew you were my pet I want to tell you how much I love you  I want to tell you how much I love you I want to tell you how much I love you",1959,John Lennon,1969
"Dave ""Baby"" Cortez",The Happy Organ,"The best things in life are free, but you can give them to the birds and bees I need money That's what I want (That's what I want. That's what I want.) That's what I want, that 's what I want (That's what I want. That's what I want.)  Your love gives me such a thrill, but your love don't pay my bills I need money That's what I want (That's what I want. That's what I want.) That's what I want, that 's what I want (That's what I want. That's what I want.)  Money don't get ev'rything, it's true, but what it don't get I can't use I need money That's what I want (That's what I want. That's what I want.) That's what I want, that 's what I want (That's what I want. That's what I want.)  Money, lots of money (That's what I want, uh huh.) Whole lot of money (That's what I want, uh huh.) Uh huh. Ah, ah, oh, yeah (That's what I want, uh huh. That's what I want.) (That's what I want, uh huh. That's what I want.)  Money, lots of money (That's what I want, uh huh.) Whole lot of money (That's what I want, uh huh.) Uh huh. Ah, ah, oh, yeah (That's what I want, uh huh. That's what I want.)",1959,Little Anthony,1962
Lloyd Price,I'm Gonna Get Married,"(Johnny, Johnny, Johnny) (Johnny, you're too young) But I'm gonna get married (You're so young) My name she'll carry (You're too young Johnny, you're so smart) But not smart enough to hide an aching heart  How come my heart deserts me Burning full of love and desire How come every time she kiss me It sets my soul on fire  How come every time she leave me It seems like I've lost a part I may be too young to marry But not to hide an aching heart  (Johnny, you're too young) But I'm gonna get married (You're so young) My name she'll carry (You're too young Johnny, you're so smart) But not smart enough to hide an aching heart  How come every time she kiss me It thrills me from head to toe How come every time I see her It lifts me right off the floor  How come every time I'm with her She whispers so soft and low It makes me want to jump and holler And bump my head into a door  (Johnny, you're too young) But I'm gonna get married (You're so young) My name she'll carry (You're too young, and Johnny, you're so smart) But not smart enough to hide an aching heart  (Too young) I'm gonna get married (You're so young) My name she'll carry (You're too young) But I'm gonna get married (You're so young) My name she'll carry (You're too young)",1959,Elvis Presley,1958
Impalas,Sorry (I Ran All The Way Home),"Sorry, sorry, oh so sorry SPOKEN: Uh-oh! **I ran all the home Just to say I'm sorry (sorry) What can I say? I ran all the way, yay, yay, yay ** Repeat **",1959,Tame Impala,2019
Dion and The Belmonts,A Teenager In Love,"[Verse 1:] Each time we have a quarrel It almost breaks my heart Cause I'm so afraid that we will have to part  [Chorus:] Each night I ask the stars up above Why must I be a teenager in love?  [Verse 2:] One day I feel so happy Next day I feel so sad I guess I'll learn to take the good with the bad  [Chorus:] Cause each night I ask the stars up above Why must I be a teenager in love?  [Pre-Chorus:] I cried a tear for nobody but you I'll be a lonely one, if you should say we're through Well, if you want to make me cry That won't be so hard to do And if you should say goodbye I'll still go on loving you  [Chorus:] Each night I ask the stars up above Why must I be a teenager in love?  [Pre-Chorus:] I cried a tear for nobody but you I'll be a lonely one, if you should say we're through Well, if you want to make me cry That won't be so hard to do And if you should say goodbye I'll still go on loving you  [Outro:] Each night I ask the stars up above Why must I be a teenager in love? Why must I be a teenager in love? (In love) Why must I be a teenager in love? (In love) Why must I be a teenager in love?",1959,Bruce Springsteen,2009
Brook Benton,It's Just A Matter Of Time,"Someday, someway You'll realize that you've been blind Yes, darling, you're going to need me again It's just a matter of time  Go on, go on Until you reach the end of the line But I know you'll pass my way again It's just a matter of time  After I gave you everything I had You laughed and called me a clown Remember, in your search for fortune and fame What goes up must come down  I know, I know That one day, you'll wake up and find That my love was a true love It's just a matter of time",1959,Ray Charles,1960
Connie Francis,Lipstick On Your Collar,"When you left me all alone At the record hop Told me you were going out For a soda pop You were gone for quite awhile Half an hour or more You came back And man, oh man This is what I saw  Chorus Lipstick on your collar Told a tale on you Lipstick on your collar Said you were untrue Bet your bottom dollar You and I are through  Cause lipstick on your collar Told a tale on you, yeah [Instrumental Interlude] You said it belonged to me Made me stop and think And then I noticed yours was red Mine was baby pink Who walked in but Mary Jane Lipstick all a mess Were you smoochin' my best friend? Guess the answer's yes  Repeat Chorus  Cause lipstick on your collar Told a tale on you, boy Told a tale on you, man Told a tale on you, yeah",1959,Hank Williams,1959
Drifters,There Goes My Baby,"[Intro] (Bo-bo) (doo-doot-doo-doo-doo-doo) (There she goes) (doo-doot-doo-doo-doo-doo) (There she goes) (doo-doot-doo-doo-doo-doo) (Bo-bo) (doo-doot-doo-doo) (Bo-bo) (doo-doo-doo-doo)  There goes my baby Movin' on down the line Wonder where, wonder where Wonder where she is bound?  I broke her heart And made her cry Now I'm alone, so all alone What can I do, what can I do?  (There goes my baby) Whoa-oh-oh-oh-oh (There goes my baby) Yeah, yeah, yeah, yeah (There goes my baby) Whoa-oh-oh-oh (There she goes) Yeah! (There she goes)  I wanna know if she loved me Did she really love me? Was she just playing Me for a fool?  I wonder why she left me Why did she leave me So all alone So all alone?  I was gonna tell her that I loved her And that I need her Beside my side To be my guide  I wanna know where is my (doo-doot-doo-doo-doo-doo) Where is my baby? (doo-doot-doo-doo-doo-doo) I want my baby (doo-doot-doo-doo-doo-doo) I need my baby  Yeah, whoa-oh-oh (There goes my baby) Whoa-oh-oh-oh-oh (There goes my baby) Whoa-oh-oh-oh-oh There goes my baby) Whoa-oh-oh-oh-oh (There goes my baby) Whoa-oh-oh-oh-oh",1959,Ben E. King,1986
Elvis Presley,A Big Hunk O' Love,"[Intro] Hey baby, I ain't asking much of you No no no no no no no no baby, I ain't asking much of you Just a big-a big-a big-a hunk of love will do  [Verse 1] Don't be a stingy little mama You're about to starve me half to death Well you can spare a kiss or two and Still have plenty left, no no no Baby, I ain't asking much of you Just a big-a big-a big-a hunk of love will do  [Verse 2] You're just a natural born beehive Filled with honey to the top Well I ain't greedy baby All I want is all you got, no no no I ain't asking much of you Just a big-a big-a big-a hunk of love will do  [Verse 3] I got wishbone in my pocket I got a rabbit's foot around my wrist You know I'd have all the things these lucky charms could bring If you'd give me just one sweet kiss, no no no no no no no Baby, I ain't asking much of you Just a big-a big-a big-a hunk of love will do",1959,Frank Sinatra,1960
Johnny and The Hurricanes,Red River Rock,"Unknown Miscellaneous Paddy And The Whale PADDY AND THE WHALE  Paddy O'Brian left Ireland in glee; He had a strong notion old England to see; He shipped in the Nellie, for England was bound And the whiskey he drank made his head go around  Cho: Laddy whack, fol de dol, fol de rol I dee dee *  O, Paddy been never sailing before; It made his heart ache when he heard the loud roar; For the glance of his eye, a whale he did spy: ""I'm going to be ate,"" says Paddy,""by-and-by""  O, Paddy run forward and caught hold of the mast He grasped his arms round and there he held fast The boat gave a tip, and, losing his grip Down in the whale's belly poor Paddy did slip  He was down in the whale six months and five days Till luck one day to his throat he did pop The whale give a snort and then give a blow And out on the land poor Paddy did go  O, Paddy is landed and safe on the shore; He swears that he 'll never go to sea any more The next time he wishes old England to see It will be when the railroad runs over the sea  Note: Alternate chorus I've heard is: Caterwaulin', Tarpaulin', Harpoonin' and all Tune is another Derry Down variant RG From Ballads and Sea Songs of Newfoundland, Greenleaf Collected from John Edison, Fleur de Lys, 1929 @sailor @fish Filename[ PADWHAL Play.exe DERRDWN2 RG ===DOCUMENT BOUNDARY===",1959,Chubby Checker,1961
Stonewall Jackson,Waterloo,Waterloo Waterloo Where will you meet your Waterloo? Every puppy has his day Everybody has to pay Everybody has to meet his Waterloo  Now old Adam Was the first in history With an apple He was tempted and deceived Just for spite The devil made him take a bite And that's where old Adam Met his Waterloo  Waterloo Waterloo Where will you meet your Waterloo? Every puppy has his day Everybody has to pay Everybody has to meet his Waterloo  Little General Napoleon of France Tried to conquer the world But lost his pants Met defeat Known as Bonaparte's Retreat And that's when Napoleon Met his Waterloo  Waterloo Waterloo Where will you meet your Waterloo? Every puppy has his day Everybody has to pay Everybody has to meet his Waterloo  Now a feller Whose darling proved untrue Took her life But he lost his too Now he swings where the little birdie sings And that's where Tom Dooley Met his Waterloo  Waterloo Waterloo Where will you meet your Waterloo? Every puppy has his day Everybody has to pay Everybody has to meet his Waterloo,1959,Loretta Lynn,1966
